At what type of location do you live? ,Are you a 10MS Paid User or not?,Are you the student / the parent?,Gender,Location (District),Location (Division),Which grade is the student in?,What is the highest level of education of the students' parents?,At what type of school does the student pursue full-time education?,How does the student (or their family) fund the student's education? ,What was the student's marks in their most recent academic year?,Does the student have his/her own mobile phone or uses a shared mobile phone?,"On a scale of 1-5 with 1 being Strongly Disagree to 5 Strongly Agree, has the student has seen an improvement in their learning since they started using 10MS.",How likely is the student to recommend 10MS to a friend? (10 (very likely) to 1 (very unlikely)),"What is the monthly  income of the student's household? (Please ask your parent, in case you are a student)","What is the amount of monthly school fees paid for the student? (in BDT)

(raw data)","What is the amount of monthly school fees paid for the student? (in BDT)

(cleaned data)","What is the cost of after-school tuition class for the student, per subject per month?

(raw data)","What is the cost of after-school tuition class for the student, per subject per month?

(cleaned data)",Why did you choose to use 10MS? (Can select more than one),,,,,,"If any, which of the following improvements has the student witnessed due to using 10MS? (can choose multiple ones)",,,,,,What would you like to see at 10MS in future?,,,,,
Divisional City/City Corporation,Yes,Student ,Male,Dhaka,Dhaka,Grade 11,Up to Masters,Private school,Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,4,10,"BDT 24,000 - 45,000","30,000","30,000","2,000","2,000",Content quality,Quality of teachers,"Convenience, no need to travel",Cheaper cost of access,,,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,Lower cost,,
Village/Sub-district,Yes,Student ,Female,Thakurgaon,Rangpur,Grade 12,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,60 to 70,Own mobile phone,5,10,"> BDT 45,000","30,000","30,000","5,000","5,000",Quality of teachers,,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,,,
Divisional City/City Corporation,Yes,Student ,Female,Dhaka,Dhaka,Grade 11,Up to University (Bachelor's),Private school,Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,4,7,"> BDT 45,000","30,000","30,000","Chemistry -1600, physics-2000,math-1500","5,100",Quality of teachers,,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,,,
Divisional City/City Corporation,Yes,Student ,Female,Dhaka,Dhaka,Grade 11,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Do not own or share a mobile,3,5,"> BDT 45,000","30,000","30,000","6,000","6,000",Content quality,Quality of teachers,"Convenience, no need to travel",Online community of learners,Cheaper cost of access,,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,,More options for student tutoring/support,Strengthen on-line student community,,,,
Divisional City/City Corporation,Yes,Student ,Male,Pabna,Rajshahi,Grade 11,Up to Masters,Private school,Self-pay/Sourced from Family,70 to 80,Own mobile phone,2,10,"> BDT 45,000","30,000","30,000","5,000","5,000",Content quality,Quality of teachers,"Convenience, no need to travel",Online community of learners,Cheaper cost of access,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Divisional City/City Corporation,Yes,Student ,Male,Chittagong,Chittagong,Grade 12,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Do not own or share a mobile,3,10,"> BDT 45,000","30,000","30,000","5,000","5,000",Content quality,Quality of teachers,"Convenience, no need to travel",,,,The student feels more motivated in their studies.,,,,,,More Subjects,More options for student tutoring/support,,,,
Divisional City/City Corporation,Yes,Student ,Male,Dhaka,Dhaka,Grade 12,PhD,Private school,Self-pay/Sourced from Family,70 to 80,Own mobile phone,4,5,"> BDT 45,000",30k,"30,000",2000+2000+2000+2000,"8,000",Travel restriction to in-person centers,,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,Lower cost,,,,,
District City,Yes,Student ,Male,Dhaka,Dhaka,Grade 05,Up to University (Bachelor's),Private school,Self-pay/Sourced from Family,80 to 100 ,Do not own or share a mobile,5,10,"> BDT 45,000","30,000","30,000","5,000","5,000",Online community of learners,,,,,,The student feels more effective/efficient in their studies.,,,,,,Lower cost,,,,,
Village/Sub-district,Yes,Student ,Male,Dhaka,Dhaka,Grade 11,Up to University (Bachelor's),Private school,Self-pay/Sourced from Family,60 to 70,Own mobile phone,4,7,"> BDT 45,000","30,000","30,000",0,0,Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Cheaper cost of access,,The student feels more motivated in their studies.,,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Divisional City/City Corporation,Yes,Student ,Male,Dhaka,Dhaka,Grade 10,Up to University (Bachelor's),Private school,Self-pay/Sourced from Family,60 to 70,Own mobile phone,4,10,"> BDT 45,000",30000+,"30,000",10000+,"10,000","Convenience, no need to travel",,,,,,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,Lower cost,,
Divisional City/City Corporation,Yes,Student ,Male,Gazipur,Dhaka,Grade 11,Up to Masters,Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,5,5,"> BDT 45,000","30,000","30,000","3,000","3,000",Quality of teachers,,,,,,The student feels more effective/efficient in their studies.,,,,,,Lower cost,,,,,
Divisional City/City Corporation,Yes,Student ,Male,Sylhet,Sylhet,Grade 09,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,70 to 80,Do not own or share a mobile,2,4,"> BDT 45,000","30,000","30,000","5,000","5,000","Convenience, no need to travel",Others,,,,,No improvement was seen,,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Village/Sub-district,Yes,Student ,Male,Chittagong,Chittagong,Grade 11,Upto Grade 10,Private school,Self-pay/Sourced from Family,70 to 80,Own mobile phone,4,5,"BDT 12,000 - 16,000","৩০,০০০/- প্রায়","30,000","১বছরে প্রায় ৫০,০০০/-এর উপরে",0,Quality of teachers,"Convenience, no need to travel",Safety or health related reasons,Cheaper cost of access,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
District City,Yes,Student ,Male,Mymensingh,Mymensingh,Grade 07,Up to University (Bachelor's),Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,3,7,"BDT 24,000 - 45,000","30,000","30,000","25,000","25,000",Content quality,Quality of teachers,Safety or health related reasons,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,The student has gained access to employability opportunities.,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Divisional City/City Corporation,Yes,Student ,Male,Mymensingh,Mymensingh,Grade 11,Up to Masters,Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,4,10,"> BDT 45,000","30,000","30,000","20,000","20,000",Quality of teachers,,,,,,The student feels more effective/efficient in their studies.,,,,,,Lower cost,,,,,
Village/Sub-district,Yes,Student ,Male,Narayanganj,Dhaka,Grade 10,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,4,10,"> BDT 45,000","30,000","30,000","5,000","5,000",Content quality,Quality of teachers,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,,,
Divisional City/City Corporation,No,Student ,Male,Narayanganj,Dhaka,Grade 12,Up to University (Bachelor's),Private school,Self-pay/Sourced from Family,70 to 80,Own mobile phone,4,10,"> BDT 45,000","30,000","30,000","Ami improvement er student, ekhon majhe majhe course chara khoroc nai. Age ",0,Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,,,,More options for student tutoring/support,Lower cost,,,,
Village/Sub-district,Yes,Student ,Female,Noakhali,Chittagong,Grade 12,Upto Grade 10,"Public school, government run",Other,Below 60,Own mobile phone,3,10,"> BDT 45,000","30,000","30,000","3,000","3,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Safety or health related reasons,Online community of learners,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,Strengthen on-line student community,Lower cost,,,,
District City,Yes,Student ,Male,Jessore,Khulna,Grade 12,Upto Grade 10,Private school,Self-pay/Sourced from Family,Below 60,Own mobile phone,4,10,"> BDT 45,000","29,000","29,000","10,000","10,000",Content quality,Quality of teachers,Cheaper cost of access,,,,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,,,,,More Subjects,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,,
Divisional City/City Corporation,No,Student ,Male,Sylhet,Sylhet,Grade 06,PhD,Private school,Loan,80 to 100 ,Shared mobile phone within the family,5,10,"> BDT 45,000","29,000","29,000","10,000","10,000",Quality of teachers,,,,,,The student feels more motivated in their studies.,,,,,,More Subjects,,,,,
District City,Yes,Student ,Male,Bogura,Rajshahi,Grade 11,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,4,7,"BDT 24,000 - 45,000",28000tk😓,"28,000","5,000","5,000",Quality of teachers,Cheaper cost of access,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More options for student tutoring/support,Lower cost,,,,
Divisional City/City Corporation,Yes,Student ,Male,Cumilla,Chittagong,Grade 10,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,3,7,"BDT 24,000 - 45,000",25000_30000,"27,500","10,000","10,000",Quality of teachers,,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Divisional City/City Corporation,Yes,Student ,Male,Dhaka,Dhaka,Grade 11,Up to University (Bachelor's),"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,4,10,"BDT 16,000 - 24,000",25000-30000,"27,500","15,000","15,000",Content quality,,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More options for student tutoring/support,Lower cost,,,,
